DatasetName	SSA_SMA	HEL_LEL	MCS_SCS	MG_IES	OMIM_IES	UNIPROT_IES	BioGRID_IES	Reactomepathway_IES	IntAct_IES
9149325	12.470435285657961	null	null	null	null	null	null	null	null
2001457	null	17.0	18.0	19.0	null	17.0	null	null	null
15716377	null	null	18.0	19.0	null	17.0	null	null	null
15070707	null	null	18.0	19.0	19.0	17.0	null	null	null
9788732	null	null	18.0	19.0	19.0	17.0	null	null	null
21073448	null	null	null	19.0	19.0	null	null	null	null
1975597	null	null	18.0	null	null	17.0	null	null	null
1975598	null	null	null	null	null	17.0	null	null	null
25293775	null	null	18.0	19.0	null	null	null	null	null
21168396	12.470435285657961	null	null	null	null	null	null	null	null
22120146	null	17.0	18.0	null	null	17.0	null	null	null
9294190	null	null	18.0	null	null	17.0	null	null	null
27340224	null	null	18.0	null	null	null	null	null	null
28185376	null	null	null	null	null	17.0	null	null	null
25205112	null	null	null	null	null	17.0	null	null	null
30245029	11.777288105098016	null	11.98791025242275	19.0	19.0	17.0	null	null	null
11307925	11.777288105098016	null	null	null	null	null	null	null	null
29016354	9.985528635869962	null	null	19.0	19.0	17.0	null	null	null
1363805	null	null	null	19.0	null	17.0	null	null	null
25604853	null	17.0	18.0	19.0	19.0	17.0	null	null	null
19564581	18.0	null	18.0	null	null	17.0	null	null	null
12464671	null	17.0	18.0	null	null	17.0	null	null	null
4701948	null	null	18.0	null	19.0	17.0	null	null	null
19576565	null	null	null	null	19.0	17.0	null	null	null
19094060	18.0	null	null	19.0	19.0	null	null	null	null
22925223	18.0	null	null	null	null	null	null	null	null
19576563	null	17.0	null	null	19.0	17.0	null	null	null
20577595	null	null	18.0	null	19.0	17.0	null	null	null
10521299	12.470435285657961	null	null	null	null	null	null	null	null
8845167	null	17.0	18.0	null	null	17.0	null	null	null
10521298	null	null	18.0	null	null	17.0	null	null	null
8845168	null	null	11.98791025242275	19.0	19.0	17.0	null	null	null
10521295	null	17.0	null	19.0	null	17.0	null	null	null
17189203	null	17.0	18.0	null	null	17.0	null	null	null
10521294	18.0	null	null	null	19.0	17.0	null	null	null
10954200	null	null	18.0	19.0	19.0	17.0	null	null	null
10521297	null	null	18.0	19.0	19.0	17.0	null	null	null
10521296	null	null	18.0	null	null	17.0	null	null	null
5160402	null	null	18.0	null	null	17.0	null	null	null
10521291	null	17.0	18.0	null	null	17.0	null	null	null
21337604	18.0	17.0	null	null	19.0	17.0	null	null	null
10521290	null	null	18.0	19.0	19.0	17.0	null	null	null
10521293	null	17.0	18.0	null	null	17.0	null	null	null
10521292	null	null	18.0	19.0	19.0	17.0	null	null	null
15716351	null	17.0	null	null	19.0	17.0	null	null	null
23602541	null	null	18.0	null	null	null	null	null	null
12114481	null	17.0	18.0	19.0	19.0	17.0	null	null	null
27016798	null	null	null	null	null	17.0	null	null	null
12114483	null	null	18.0	null	null	17.0	null	null	null
9811582	null	null	18.0	19.0	19.0	17.0	null	null	null
23146691	18.0	null	null	null	null	null	null	null	null
25820570	null	null	11.98791025242275	19.0	null	17.0	null	null	null
27411168	null	null	18.0	null	null	17.0	null	null	null
23472759	null	null	null	null	19.0	null	null	null	null
25533973	18.0	null	null	null	null	null	null	null	null
11897817	null	17.0	18.0	19.0	null	17.0	null	null	null
7507150	null	17.0	18.0	null	19.0	17.0	null	null	null
9774102	null	null	null	null	null	17.0	null	null	null
9774100	null	null	null	null	null	17.0	null	null	null
7507152	null	17.0	18.0	null	19.0	17.0	null	null	null
7507151	null	17.0	18.0	null	19.0	17.0	null	null	null
19708871	null	null	18.0	null	null	17.0	null	null	null
11391350	null	null	18.0	null	null	17.0	null	null	null
1363810	null	17.0	null	19.0	19.0	17.0	null	null	null
11810290	null	null	null	null	null	null	10.0	null	null
11810292	11.777288105098016	17.0	11.98791025242275	null	null	17.0	null	null	null
1363816	null	null	18.0	null	null	17.0	null	null	null
11810299	11.084140924538072	null	null	null	19.0	12.25428487130798	null	null	null
10572812	18.0	null	null	null	null	null	null	null	null
10234611	null	17.0	18.0	19.0	19.0	17.0	null	null	null
15682402	null	17.0	null	null	null	null	null	null	null
25533962	11.371822996989852	null	null	null	19.0	17.0	4.505244543931599	null	null
20227366	null	null	18.0	19.0	19.0	17.0	null	null	null
20577567	null	null	18.0	null	null	null	null	null	null
10873982	null	null	18.0	null	19.0	17.0	null	null	null
9367690	null	null	11.98791025242275	19.0	19.0	12.947432051867926	null	null	null
27026137	null	17.0	null	null	null	null	null	null	null
19180532	null	null	null	null	null	null	4.505244543931599	4.200465116884981	null
15682418	null	null	null	null	null	null	null	4.7882517817871	null
6941312	null	17.0	18.0	19.0	null	17.0	null	null	null
15682412	null	null	18.0	null	null	17.0	null	null	null
10944856	null	null	18.0	null	null	17.0	null	null	null
10944854	null	null	18.0	19.0	19.0	17.0	null	null	null
15297419	null	null	18.0	null	null	17.0	null	null	null
11476841	null	17.0	18.0	null	null	null	null	null	null
4627454	null	null	18.0	19.0	19.0	17.0	null	null	null
1363837	null	null	null	null	null	17.0	null	null	null
16684832	18.0	null	18.0	null	null	17.0	null	5.704542513661255	null
1363838	null	null	null	null	null	17.0	null	null	null
11437164	null	17.0	18.0	19.0	19.0	17.0	null	null	null
22952853	null	null	18.0	null	null	null	null	null	null
28807008	null	null	18.0	19.0	19.0	17.0	null	null	null
10944848	null	null	18.0	null	19.0	17.0	null	null	null
22614657	18.0	null	12.393375360530914	null	null	12.947432051867926	10.0	10.0	null
24844686	null	17.0	18.0	19.0	19.0	17.0	null	null	null
12031592	null	null	18.0	null	null	17.0	null	null	null
28327087	null	17.0	18.0	null	null	17.0	null	null	null
22350545	null	null	18.0	19.0	19.0	17.0	null	null	null
11741928	null	17.0	18.0	null	null	null	null	null	null
20949621	18.0	null	null	19.0	19.0	13.640579232427871	null	null	null
19659471	null	null	18.0	null	null	17.0	null	null	null
20949620	null	17.0	null	null	null	17.0	null	null	null
26244500	null	17.0	18.0	null	null	17.0	null	null	null
21278736	null	null	null	null	19.0	17.0	null	null	null
15814878	12.470435285657961	null	null	19.0	null	14.046044340536035	null	null	null
17287723	null	null	null	null	null	17.0	null	null	null
30654191	11.084140924538072	null	null	null	null	null	null	null	null
21962378	12.470435285657961	null	null	null	null	null	null	null	null
25124994	null	null	18.0	null	null	null	null	null	null
11726306	null	null	18.0	null	null	17.0	null	null	null
27545680	null	null	null	19.0	19.0	17.0	null	null	null
8943583	null	null	18.0	null	null	null	null	null	null
27545681	null	null	null	19.0	19.0	null	null	null	null
21567917	null	null	null	null	null	17.0	null	null	null
17275750	null	null	null	null	null	17.0	null	null	null
17682058	null	null	18.0	19.0	19.0	17.0	null	null	null
22134833	null	17.0	18.0	null	null	17.0	null	null	null
25173926	null	null	18.0	19.0	19.0	17.0	null	null	null
20132483	18.0	null	18.0	null	null	null	null	null	null
26220525	null	null	null	null	null	17.0	null	null	null
27545674	null	null	null	null	19.0	null	null	null	null
27545675	null	null	null	null	19.0	17.0	null	null	null
27545676	null	null	null	19.0	19.0	17.0	null	null	null
27545678	null	null	null	null	null	17.0	null	null	null
21567929	11.777288105098016	null	18.0	null	null	null	null	null	null
10199800	null	null	null	null	null	17.0	null	null	null
23913001	18.0	null	null	null	19.0	null	null	null	null
12356829	null	null	18.0	null	19.0	17.0	null	null	null
12234283	null	null	18.0	null	null	17.0	null	10.0	null
15792865	null	null	18.0	null	null	17.0	null	null	null
23229545	null	null	18.0	null	19.0	17.0	null	null	null
28905505	null	null	null	null	null	17.0	null	null	null
23913004	null	null	12.681057432982694	null	null	null	null	null	null
23913003	12.470435285657961	null	null	null	13.410735066629027	12.947432051867926	null	null	null
28726809	null	null	18.0	19.0	19.0	17.0	null	null	null
24604904	18.0	null	18.0	19.0	19.0	17.0	null	null	null
22829454	null	null	null	null	null	17.0	null	null	null
2133253	18.0	null	null	null	null	null	null	null	null
16417554	null	17.0	18.0	19.0	19.0	17.0	null	null	null
21242781	null	null	18.0	null	null	17.0	null	null	null
8461023	null	null	18.0	null	null	17.0	null	null	null
20372150	null	null	null	null	null	null	null	10.0	null
9101438	18.0	null	18.0	null	19.0	17.0	null	null	null
23229552	null	null	null	19.0	19.0	17.0	null	null	null
15792871	null	null	18.0	19.0	19.0	17.0	null	null	null
15562585	11.084140924538072	null	null	null	null	null	null	null	null
20709904	null	null	18.0	null	null	17.0	null	null	null
10210708	null	null	18.0	19.0	19.0	17.0	null	null	null
21543982	10.167850192663916	17.0	11.98791025242275	null	null	11.337994139433825	null	null	null
23518715	null	null	18.0	19.0	19.0	17.0	null	null	null
8306954	null	null	18.0	null	19.0	17.0	null	null	null
1363780	null	null	18.0	null	null	17.0	null	null	null
3135807	null	17.0	null	null	null	17.0	null	null	null
12393807	null	null	18.0	19.0	null	17.0	null	null	null
27858739	null	null	18.0	null	19.0	null	null	null	null
12787275	null	null	null	null	null	17.0	null	null	null
17564959	null	null	null	null	19.0	17.0	null	null	null
12393809	null	null	18.0	null	null	17.0	null	null	null
17309654	null	17.0	18.0	19.0	19.0	17.0	null	null	null
17309651	18.0	null	18.0	null	null	17.0	null	null	null
22565294	null	null	18.0	19.0	19.0	17.0	null	null	null
22927827	18.0	null	null	19.0	19.0	17.0	null	null	null
22577224	null	17.0	null	null	null	null	null	null	null
23242530	null	17.0	18.0	null	null	17.0	null	null	null
12393803	null	null	null	null	null	null	7.837449054106803	null	null
22577226	12.470435285657961	null	null	null	19.0	17.0	null	null	null
22577225	11.084140924538072	null	null	null	null	17.0	null	null	null
1373122	null	null	18.0	null	19.0	17.0	null	null	null
17682004	null	null	null	null	null	null	3.588953812057444	null	null
31752325	11.777288105098016	11.561915891800563	11.582445144314585	19.0	19.0	17.0	null	null	null
17564961	null	17.0	18.0	null	null	17.0	null	null	null
17564964	18.0	null	null	null	null	17.0	null	null	null
15851849	null	17.0	18.0	null	null	17.0	null	null	null
22386572	null	null	null	null	null	null	10.0	null	null
11704930	null	null	18.0	null	null	17.0	null	null	null
23374346	null	null	18.0	null	null	17.0	null	null	null
7904210	null	null	18.0	null	19.0	17.0	null	null	null
11704931	18.0	null	null	19.0	19.0	17.0	null	null	null
17564966	null	null	null	19.0	19.0	17.0	null	null	null
18828811	10.860997373223862	null	null	null	null	null	null	6.3976896942212	null
19011631	null	null	11.98791025242275	null	null	null	null	null	null
24939590	null	null	null	19.0	19.0	null	null	null	null
16873062	11.084140924538072	null	18.0	null	null	17.0	null	null	null
24026677	null	null	null	null	null	17.0	null	null	null
28631893	null	null	18.0	null	null	null	null	null	null
7906866	null	17.0	18.0	null	19.0	17.0	null	null	null
15824259	null	null	null	null	null	17.0	null	null	null
15031030	null	null	null	null	19.0	17.0	null	null	null
17564971	null	null	null	null	19.0	17.0	null	null	null
17564972	null	null	18.0	null	19.0	17.0	null	null	null
23242558	null	17.0	18.0	null	null	17.0	null	null	null
17564970	null	17.0	18.0	null	null	17.0	null	null	null
26004889	null	null	18.0	19.0	19.0	17.0	null	null	null
21278747	null	null	null	null	19.0	null	null	null	null
17564974	12.182753213206182	null	null	null	14.509347355297137	13.640579232427871	null	null	null
24026681	null	17.0	18.0	19.0	null	null	null	null	null
28199965	null	null	null	null	null	17.0	null	null	null
22012259	10.390993743978127	null	null	null	null	12.947432051867926	null	null	null
23758435	null	17.0	18.0	19.0	19.0	17.0	null	null	null
20374732	11.777288105098016	null	11.98791025242275	13.341721377888732	13.410735066629027	12.947432051867926	null	null	null
26303524	null	null	null	19.0	19.0	null	null	null	null
16116422	null	17.0	null	null	null	null	null	null	null
16116421	null	null	18.0	19.0	19.0	17.0	null	null	null
8630485	null	null	null	null	null	17.0	null	null	null
11440811	null	null	null	null	null	null	6.451154692986912	5.704542513661255	null
12006526	null	11.967380999908727	null	null	null	null	null	null	null
16116425	18.0	null	null	null	null	null	6.451154692986912	6.3976896942212	null
16116424	null	null	null	19.0	19.0	17.0	null	null	null
16116423	12.875900393766127	null	null	null	19.0	17.0	null	null	null
8304336	null	null	18.0	null	19.0	17.0	null	null	null
17549345	12.470435285657961	null	null	null	null	null	null	null	null
8304337	null	null	18.0	19.0	19.0	17.0	null	null	null
1900003	12.470435285657961	null	null	null	null	17.0	null	10.0	null
29163777	null	17.0	null	null	null	null	null	null	null
9499424	null	null	18.0	null	null	null	null	null	null
18033238	11.084140924538072	null	null	null	null	null	10.0	10.0	null
12403615	null	17.0	null	null	null	17.0	null	null	null
20034096	null	null	18.0	19.0	19.0	17.0	null	null	null
16635921	null	null	18.0	19.0	19.0	17.0	null	null	null
11738358	null	null	18.0	null	null	17.0	null	null	null
11415848	null	null	null	19.0	19.0	17.0	null	null	null
1314846	null	null	18.0	19.0	19.0	17.0	null	null	null
11246459	10.390993743978127	null	null	13.341721377888732	13.410735066629027	12.25428487130798	null	null	null
18779414	null	null	18.0	19.0	19.0	17.0	null	null	null
11738357	null	null	18.0	null	19.0	17.0	null	null	null
10102714	null	null	18.0	null	19.0	17.0	null	null	null
17525387	18.0	null	null	null	null	null	null	null	null
25185984	null	null	18.0	19.0	19.0	17.0	null	null	null
27099147	null	12.37284610801689	null	null	null	null	null	null	null
8318997	null	null	null	19.0	19.0	17.0	null	null	null
24700880	null	null	18.0	19.0	19.0	17.0	null	null	null
24700879	11.084140924538072	null	null	19.0	null	17.0	null	null	null
19731237	10.678675816429907	null	null	null	null	null	null	null	null
19731236	18.0	17.0	18.0	19.0	19.0	17.0	null	null	null
27966542	null	null	18.0	null	null	null	null	null	null
12702166	null	17.0	18.0	19.0	19.0	17.0	null	null	null
23026888	null	null	18.0	19.0	null	17.0	null	null	null
22036214	null	null	null	19.0	19.0	17.0	null	null	null
27435091	18.0	null	null	null	19.0	17.0	null	null	null
21602930	18.0	17.0	18.0	19.0	19.0	17.0	null	null	null
30510241	8.832849125931576	null	null	null	null	11.481094983074499	3.9903455947779727	2.0538842723675166	3.433347647351602
15102078	null	17.0	18.0	null	null	17.0	null	null	null
27616479	null	17.0	18.0	19.0	19.0	17.0	null	null	null
7749410	null	17.0	18.0	null	null	17.0	null	null	null
22829427	12.000431656412227	11.561915891800563	null	19.0	19.0	17.0	null	null	null
19912631	null	null	18.0	null	19.0	17.0	null	null	null
20034067	null	null	18.0	19.0	19.0	17.0	null	null	null
10330430	null	null	null	null	19.0	17.0	null	null	null
10978268	null	null	null	null	null	17.0	null	null	null
18515740	null	null	null	null	null	17.0	null	null	null
27616481	null	null	null	null	19.0	17.0	null	null	null
19696444	null	17.0	18.0	19.0	19.0	17.0	null	null	null
19287384	12.470435285657961	11.967380999908727	18.0	null	19.0	17.0	null	null	null
19287385	null	null	18.0	null	null	null	null	null	null
19287382	12.470435285657961	11.967380999908727	18.0	null	19.0	17.0	null	null	null
27616483	null	null	null	null	19.0	17.0	null	null	null
17395558	null	null	18.0	null	null	null	null	null	null
7749416	null	null	null	null	19.0	17.0	null	null	null
7749417	null	null	18.0	null	null	17.0	null	null	null
9605286	null	17.0	null	null	null	17.0	null	null	null
15079037	null	null	18.0	null	null	17.0	null	null	null
27472056	null	null	18.0	19.0	19.0	17.0	null	null	null
21756023	null	null	null	null	19.0	17.0	null	null	null
25594860	null	null	18.0	null	null	17.0	null	null	null
3108247	null	17.0	18.0	null	null	17.0	null	null	null
15236414	null	17.0	18.0	19.0	null	17.0	null	null	null
10330428	null	null	18.0	null	null	null	null	null	null
1361196	null	null	18.0	19.0	null	17.0	null	null	null
28089576	null	null	18.0	null	null	null	null	null	null
27616478	null	null	null	null	19.0	17.0	null	null	null
9259745	18.0	null	null	null	null	null	null	null	null
18033242	null	null	18.0	19.0	19.0	17.0	null	null	null
15079006	null	null	null	null	null	17.0	null	null	null
15079002	null	17.0	null	null	19.0	17.0	null	null	null
9654207	null	null	18.0	null	null	17.0	null	null	null
9654202	null	null	18.0	19.0	19.0	17.0	null	null	null
9654203	null	null	18.0	null	null	17.0	null	null	null
