SSA_SMA	HEL_LEL	MCS_SCS	MG_IES	OMIM_IES	UNIPROT_IES	OMIM_CDS	UNIPROT_CDS	BioGRID_IES	Reactomepathway_IES	IntAct_IES
C0020532	C4748752	C0011603	C0235527	C1832466	C4748769	C0019562	C0019562	C0494475	C0265202	
C0524524	C1853995	C0342482	C0431399	C1142166	C0342544	C4225269	C4225269	C0025269	C0015530	
C4551906	C1970180	C0266313	C4693325	C0312854	C0002514	C0010346	C0010346	C1863924	C3489726	
C0007852	C1857728	C1861385	C4225393	C0018273	C1833118	C2931356	C2931356	C4511003	C0342302	
C0020555	C3553354	C0023931	C3665382	C0025363	C4041558	C0153381	C0153381	C0751408	C0027643	
C0342793	C0751257	C0238357	C2678338	C1862394	C0349788	C0007786	C0007786	C0751407	C2750732	
C0751602	C4748737	C1840452	C3810212	C3489532	C3278811	C0034341	C0034341	C1861862	C2931187	
C3267076	C3150909	C0162359	C1837317	C1858361	C0268371	C1306571	C1306571	C4551988	C1837839	
C0376185	C1306837	C3553959	C0022661	C3714756	C0036305	C4225288	C4225288	C3553948	C1864850	
C3280285	C4225273	C0001733	C0744356	C0008479	C0149958	C1856184	C1856184	C3553947	C3280660	
C0270726	C4479652	C4551982	C1864663	C3665347	C1854158	C0014549	C0014549	C2673642	C0234533	
C0018213	C3539495	C1844579	C3553358	C0162809	C0687120	C0277839	C0277839	C4048809	C0234535	
C0023817	C1843164	C0238358	C4273131	C2677506	C4277682	C1263846	C1263846	C1849678	C4310788	
C2931384	C0015624	C3553571	C3809243	C4747658	C0338473	C0239981	C0239981	C0268631	C1834460	
C0422855	C0026760	C0700216	C0024796	C0751884	C0162872	C0546264	C0546264	C1876187	C0158570	
C0422854	C4540274	C1834674	C0260037	C0751882	C0270970	C1832443	C1832443	C0028860	C3279695	
C0422853	C0024668	C1840391	C1955869	C0079541	C4014962	C0234254	C0234254	C0497327	C0398739	
C0020630	C4551825	C1263023	C1864910	C1563716	C0268335	C0020529	C0020529	C1959620	C0005974	
C0422852	C1858674	C3553960	C0278510	C2678478	C2678065	C3494522	C3494522	C1865349	C0038525	
C0422850	C1970848	C3542500	C0279702	C0376634	C0268336	C0003504	C0003504	C0017920	C0042484	
C0406557	C0004712	C1275078	C1865143	C2751666	C3888099	C1334968	C1334968	C0017921	C1849722	
C3151085	C0013384	C0023798	C0266484	C1857586	C0702166	C0264716	C0264716	C2930922	C1864826	
C4551630	C1868679	C4225234	C1832394	C1142166	C2674695	C1846545	C1846545	C3553929	C4551899	
C1850303	C0018995	C1854369	C3150754	C2678477	C0521573	C0270823	C0270823	C0036572	C4551898	
C4015316	C0376524	C0000744	C4225399	C1142166	C0268345	C0001787	C0001787	C3151753	C0162678	
C2936346	C4225217	C4551974	C0033835	C0038356	C0268338	C0344559	C0344559	C4551484	C0040015	
C3541471	C4748766	C0009952	C1847024	C1836573	C1855520	C0026838	C0026838	C3553937	C1836797	
C0265224	C0576612	C1568247	C1868081	C0021051	C4707829	C0020507	C0020507	C3151120	C1834481	
C0409818	C4310805	C0153594	C1838854	C1306837	C0265325	C0029124	C0029124	C3553936	C1832845	
C3810242	C4693420	C0220666	C4279912	C2748544	C0749420	C0020541	C0020541	C4317224	C3888018	
C4225578	C3151784	C4274118	C0027859	C3711374	C3495587	C0009782	C0009782	C1879526	C4551980	
C4479387	C1859405	C0393706	C2677434	C0917816	C0265534	C0020502	C0020502	C0205969	C3279690	
C0085578	C4225372	C0878544	C1836780	C1836522	C1833296	C1853205	C1853205	C0796028	C0740392	
C0751263	C3151136	C4083045	C0086438	C0346010	C3888123	C0027796	C0027796	C0040038	C0740391	
C0751262	C0034345	C4225408	C3150898	C0342196	C0023465	C0034186	C0034186	C0751037	C3151037	
C4551862	C2751319	C0452138	C0154832	C1854368	C0268318	C0406811	C0406811	C0751039	C0339985	
C1389273	C3151264	C0221023	C1859775	C3554002	C4310802	C0339510	C0339510	C0751056	C3150413	
C4551863	C0795940	C1843096	C2751259	C1837501	C0745103	C0233565	C0233565	C0751038	C0020480	
C0007959	C0348626	C0398626	C3888102	C4310685	C0546966	C0236018	C0236018	C0152115	C0020481	
C1851996	C1849453	C3489532	C3536797	C1395264	C1855923	C1840390	C1845672	C0085786	C1856057	
C2930619	C1970207	C1865370	C0035528	C3542026	C3279841	C1845672	C1840390	C1969084	C3463992	
C2930618	C0034350	C4273673	C0086543	C0027765	C4015686	C1855498	C1855498	C0334590	C0472383	
C1855840	C0021367	C1970479	C1836448	C2936846	C3806702	C2931037	C2931037	C0011168	C0334634	
C0011609	C3151209	C2316212	C3805604	C0033860	C1865270	C0264611	C0264611	C1854465	C4225425	
C1260899	C4551568	C0014170	C1836447	C3280041	C0393671	C0026987	C0026987	C1955861	C0268581	
C4748838	C4551562	C0205789	C4693371	C0265287	C4316903	C1850792	C1850792	C1955860	C0268465	
C1336839	C0746787	C0205788	C0431350	C0006142	C0221363	C0403553	C0403553	C0085584	C0018798	
C2673635	C0037268	C0087169	C2931104	C3489704	C0039743	C0020542	C0020542	C3275508	C0011849	
C0423623	C0011881	C0025521	C0027832	C4317224	C4015067	C3554478	C3554478	C0242698	C0342765	
C3645536	C1833453	C0019243	C0751837	C0022521	C3151060	C0342474	C0342474	C0339546	C1857829	
C4551512	C0270851	C0872218	C0751836	C4225159	C3150672	C3714534	C3714534	C2751320	C0393591	
C0026654	C0031036	C4551487	C0016788	C1858028	C4479654	C0813142	C0813142	C1856974	C4551804	
C3150808	C0268273	C0917817	C1866504	C2936816	C0271623	C0796019	C0796019	C3809160	C0085110	
C2700265	C0239946	C0013604	C4310812	C0795910	C0494475	C4310232	C4310232	C4552003	C0268228	
C0432417	C1868193	C0206727	C3836857	C3853041	C4310725	C1333990	C1333990	C2749861	C0268226	
C0432416	C3160720	C4225267	C0342286	C4011454	C4310627	C0423711	C0423711	C0026141	C0410190	
C0751265	C1720416	C3279614	C4225671	C3280031	C0340543	C0009319	C0009319	C0003123	C2931004	
C0023772	C1836727	C0020725	C1853396	C3501846	C0340548	C1835819	C1835819	C0339573	C1834523	
C0020256	C4540481	C3536797	C2677889	C0376358	C0751785	C4304832	C4304832	C1861481	C0752308	
C0020255	C0019562	C0018523	C0038644	C0036572	C3541517	C0231918	C0231918	C0268621	C0751337	
C0270765	C4551502	C1838979	C1291490	C3809470	C0014170	C0423712	C0423712	C1832702	C0752306	
C0423618	C0220615	C0752293	C1857781	C1855710	C1858424	C2750784	C2750784	C0175699	C0752307	
C3553494	C0432197	C0752292	C1291609	C3714756	C1837610	C0342467	C0342467	C3150876	C0752304	
C2677877	C1450010	C0752291	C0027831	C2931067	C1833691	C1845285	C1845285	C4551966	C0752305	
C3892039	C4014668	C4310633	C3553250	C3553999	C1832162	C1876182	C1876182	C0236663	C0268398	
C3281235	C0024121	C0752289	C1842422	C1843808	C0268654	C0151786	C0151786	C0020981	C0019569	
C1858338	C3495427	C0752288	C3151355	C1848296	C1853120	C0013903	C0013903	C0221409	C0003132	
C0267071	C3151140	C4551504	C0235574	C0268579	C1866425	C0796037	C0796037	C3150414	C1856058	
C0267072	C0268374	C4225270	C4551479	C4225344	C3809414	C3887612	C3887612	C0700053	C3468041	
C0393912	C0005818	C4225356	C0007102	C3827793	C0432273	C0158353	C0158353	C0393688	C4552001	
C0205822	C0149931	C4749014	C3151356	C0338508	C0751495	C0920296	C0920296	C0887850	C0086132	
C0205823	C4721890	C1563937	C0265344	C4310646	C4748253	C0175709	C0175709	C1832525	C3279743	
C0431401	C0266313	C4083048	C0268563	C0010308	C1851402	C4551977	C4551977	C0022593	C3280887	
C0340848	C0268514	C1969093	C4479246	C1846529	C4748044	C1858854	C1858854	C0022594	C4721845	
C0035309	C2931498	C2717836	C1333990	C0009782	C4539685	C0010709	C0010709	C1843504	C1449862	
C1843895	C0238357	C1865885	C2607929	C0268579	C0267072	C1835916	C1835916	C2700553	C1449861	
C4524082	C0431363	C1332243	C1860224	C0340427	C0267071	C3837958	C3837958	C0393684	C0086647	
C1859520	C0162359	C1266144	C0242380	C1855008	C4013950	C4748694	C4748694	C0393683	C0162739	
C3553868	C2677794	C4225347	C3553951	C0751495	C0457190	C0017667	C0017667	C0033953	C1837355	
C3668942	C0431362	C0024814	C1855425	C0751494	C3279992	C0152101	C0152101	C0751783	C1334968	
C0036980	C1449563	C3698541	C4748778	C3463992	C0265264	C0406775	C0406775	C0393671	C0836924	
C0036349	C0238358	C0431718	C4727002	C0002395	C1846647	C0001824	C0001824	C4225354	C0015371	
C0042384	C1838701	C0270984	C2748552	C1859312	C4748839	C0231519	C0231519	C0750951	C1839884	
C1838612	C0270960	C1970011	C3543867	C4082173	C4748840	C0431406	C0431406	C4225352	C0272350	
C0340493	C1834674	C4014261	C3888307	C2751938	C4721531	C3887494	C3887494	C0266487	C1853249	
C3281128	C0033922	C0086873	C3888308	C0270855	C0432291	C1720779	C1720779	C0014458	C1970021	
C3809013	C0553558	C1836996	C3888309	C0268362	C0432252	C0566602	C0566602	C0023449	C4085243	
C0751778	C1835896	C4522164	C1845987	C1860819	C0342895	C1869117	C1869117	C4225211	C0004782	
C0751779	C2931832	C4049006	C2713347	C0751651	C4748327	C0339546	C0339546	C0751324	C1303073	
C1861825	C0153452	C4321247	C4551902	C0796003	C0393688	C0042900	C0042900	C1851920	C4748083	
C0751776	C2931833	C0268293	C4552000	C0432242	C0002879	C0266092	C0266092	C1834846	C3852987	
C0751777	C4225329	C0268292	C1721007	C0003886	C1858328	C2750063	C2750063	C0751110	C0268242	
C3150736	C0024507	C3888093	C1836076	C1961835	C0002878	C2750064	C2750064	C0002726	C0268243	
C0751780	C1854369	C0398625	C4693472	C1291560	C0393691	C0175702	C0175702	C0543514	C3852984	
C3279990	C4551552	C1857355	C4015512	C1956147	C1832475	C2750065	C2750065	C0042164	C3852986	
C1854416	C0000744	C0271097	C2675014	C0006142	C0393675	C1860238	C1860238	C1843791	C3852985	
C1383860	C1262477	C3553264	C0265965	C0006142	C0393676	C0751851	C0751851	C2931832	C3150546	
C0751781	C4551974	C0342686	C0751330	C0002395	C1836336	C0751852	C0751852	C2931833	C0271623	
C0751782	C0264956	C0751110	C4303082	C0751496	C1568249	C0341869	C0341869	C0376416	C1864912	
C3151513	C0220621	C1850106	C0242216	C0751207	C0268251	C3554316	C3554316	C0751123	C4225165	
C0241210	C4540404	C1862939	C3151293	C0751208	C0393679	C0751829	C0751829	C4551981	C0008924	
C4279912	C4479409	C3280845	C4310679	C0751036	C0021364	C0346303	C0346303	C0175704	C0026760	
C1854540	C4225408	C1850056	C3553831	C4540014	C0268250	C1843225	C1843225	C1834235	C0268542	
C0268193	C1843096	C0751123	C1842237	C3276706	C1832241	C1854301	C1854301	C1306589	C0279607	
C4225214	C2675187	C3280914	C0008372	C2678045	C4748768	C0154832	C0154832	C0751043	C1861195	
C1622434	C0008924	C3553538	C1843140	C1384666	C0432253	C0751832	C0751832	C0751042	C4225287	
C0743332	C0432226	C1832466	C0039070	C0342194	C3275447	C0345218	C0345218	C1832680	C0342907	
C0398623	C3552335	C1864908	C1846006	C1868118	C1838437	C0751830	C0751830	C0266468	C1855675	
C1837026	C4479504	C1846790	C0022797	C1859312	C1842402	C0751831	C0751831	C3554344	C0017926	
C0220679	C0025521	C4551496	C1849394	C2751260	C0002889	C3553762	C3553762	C4317123	C0085136	
C0272066	C1849813	C1853271	C0020538	C4014531	C0393681	C3279699	C3279699	C0796031	C3714933	
C3278404	C0751667	C0917715	C0152171	C3281200	C0393683	C4011974	C4011974	C2750866	C0037773	
C0020550	C0751666	C2919945	C1721005	C0205713	C0393684	C4706390	C4706390	C0342870	C1850709	
C0020649	C4551487	C3281027	C3665473	C0398791	C2748895	C1855648	C1855648	C3280282	C0268238	
C0751088	C2750737	C0241908	C1864738	C0231712	C1850386	C0151526	C0151526	C0027654	C2749346	
C0265201	C0751664	C0743002	C2751898	C3714756	C0342287	C1384406	C1384406	C0034091	C0175707	
C1854273	C0011052	C1970269	C4551996	C1832409	C4225189	C0021367	C0021367	C0027658	C4552072	
C0036391	C0011053	C1839839	C1140680	C0007138	C0220668	C1384408	C1384408	C0280100	C1835845	
C4749023	C0085786	C0266159	C0751349	C1833691	C1832476	C1832661	C1832661	C1865616	C3837958	
C1866398	C0751469	C0025149	C0751348	C1458155	C0686353	C4553297	C4553297	C1848561	C4479608	
C3805411	C1853926	C0398686	C1862170	C1458155	C1833372	C0041948	C0041948	C0009075	C0751304	
C0220685	C0751468	C0019050	C1721006	C0796013	C3809431	C0475718	C0475718	C0265202	C0751303	
C3809005	C2678055	C0040332	C0751354	C0086649	C2750457	C4706552	C4706552	C0015530	C2752039	
C0085650	C1861348	C3495591	C0034345	C2931008	C0033860	C4693899	C4693899	C0342302	C2677589	
C2931093	C0751478	C0699739	C0751355	C0005956	C4225183	C0036439	C0036439	C0242387	C0259785	
C0687132	C0751477	C1858386	C0751352	C3150415	C0030246	C3808069	C3808069	C2750732	C2751641	
C0014170	C0751476	C0268393	C0751353	C0006267	C0265239	C4749281	C4749281	C2931187	C0153601	
C3805412	C0751475	C0023374	C3150752	C0265221	C4748809	C0262584	C0262584	C0340427	C0740376	
C0022360	C0677608	C4310751	C0751350	C0431399	C0010324	C4733333	C4733333	C1837839	C3809192	
C1867440	C0751474	C0268285	C0751351	C0917816	C4225269	C2675488	C2675488	C1864850	C0020523	
C0020619	C0751473	C1864498	C0038002	C0019489	C3806670	C0042963	C0042963	C3280660	C1970827	
C4479409	C0751472	C0018784	C0751951	C0751273	C0038279	C0919267	C0919267	C3661519	C1858991	
C0022660	C0751471	C1970237	C3150654	C4317124	C0024507	C1837728	C1837728	C4310788	C0037231	
C1862941	C0751470	C0004134	C0004903	C1533041	C3150750	C1855900	C1855900	C1834460	C3279793	
C0020479	C0002878	C1275808	C1720860	C1384666	C0034341	C0265222	C0265222	C0158570	C1853942	
C1405854	C0002879	C1970203	C3553349	C0034933	C0026650	C0268374	C0268374	C3279695	C1961835	
C0268250	C0013604	C3280054	C4225203	C0085261	C0009324	C0948089	C0948089	C0398739	C1866008	
C1842180	C2678061	C0033141	C0017923	C0086237	C0020608	C4317124	C4317124	C0005974	C1846564	
C0268251	C0751479	C1838359	C2751643	C0796173	C4748803	C4317123	C4317123	C0751483	C0268233	
C1837657	C0751481	C0037822	C0018800	C1959583	C4225288	C4479652	C4479652	C1849722	C0085681	
C0024530	C0751480	C1840235	C0376359	C0557874	C4539886	C0472777	C0472777	C0023522	C1275808	
C0020473	C0002889	C3809523	C2749659	C3150757	C0079541	C0035258	C0035258	C1864826	C0013366	
C0265261	C4551500	C0026552	C1847836	C3711374	C0587248	C1843164	C1843164	C0427086	C1522378	
C1858679	C2750785	C1861736	C0349204	C0343111	C3150941	C1862102	C1862102	C1861556	C1856186	
C1849348	C3281044	C1833561	C0021655	C1956147	C4748806	C0034152	C0034152	C4551899	C3553230	
C3278365	C0018523	C0334634	C0796221	C0268621	C0085261	C0030246	C0030246	C4551898	C3553637	
C0013581	C0555206	C2700617	C1956346	C0427190	C2673873	C4310689	C4310689	C0162678	C1527405	
C0015967	C1845567	C0266539	C1865070	C0432235	C4310660	C0262497	C0262497	C0040015	C2608084	
C0086648	C0040038	C1858656	C3888007	C1384666	C1832443	C0010481	C0010481	C1836797	C0796147	
C0220710	C1847200	C0013575	C4310711	C2930797	C2936777	C0497552	C0497552	C1834481	C3839296	
C1330966	C1839928	C0033975	C0339273	C1855052	C0162871	C4707897	C4707897	C3151444	C0151468	
C1832386	C0751056	C1864997	C0000771	C3888212	C0162670	C0019064	C0019064	C3151443	C1849386	
C0349578	C2936921	C0270959	C3280168	C1969785	C1865343	C0037268	C0037268	C0162666	C0848676	
C0349579	C4551504	C0023453	C0265345	C4015557	C1854311	C0576612	C0576612	C3888018	C0268419	
C3281105	C0751402	C0023452	C0342195	C0018798	C2939175	C0243050	C0243050	C4551980	C3489630	
C1837148	C4014997	C0431350	C0477432	C0039445	C1262477	C0234985	C0234985	C3279690	C3280538	
C0233715	C0751068	C2752147	C3150973	C0017668	C2676244	C1858712	C1858712	C0740392	C4225248	
C0009405	C4225356	C3493776	C1970309	C2751322	C0221355	C0410190	C0410190	C0740391	C0266006	
C3661489	C4748770	C3554518	C0029434	C0162836	C1846545	C1863204	C1863204	C3151037	C0155862	
C0023485	C0751093	C3280011	C0266539	C0008384	C0234996	C0543859	C0543859	C0339985	C1836544	
C0751093	C1135747	C1857761	C0025521	C0023212	C3280797	C1845546	C1845546	C2751306	C1864669	
C0006145	C1135746	C3150681	C0685838	C0035335	C0032914	C4014321	C4014321	C3150413	C2750035	
C1300257	C0221357	C0032580	C3888001	C3714534	C4551977	C0410189	C0410189	C0020480	C0342788	
C2717884	C1135745	C1842035	C1864923	C0553580	C2609268	C3151136	C3151136	C0020481	C1824925	
C0024301	C1865885	C0268543	C2750771	C2973725	C3150617	C0034345	C0034345	C0085762	C0036391	
C1854449	C4225347	C3888102	C4310778	C3150703	C1838244	C2931441	C2931441	C1856057	C0344479	
C1861194	C1842577	C3281234	C4310704	C1838625	C0220658	C4748827	C4748827	C3463992	C0456483	
C0376280	C0024814	C0432268	C0175694	C4225394	C3151205	C0086981	C0086981	C0027796	C3279807	
C4225275	C0000772	C0024809	C3543826	C1854469	C4706412	C1168401	C1168401	C0033139	C2678478	
C0233754	C1838280	C0268467	C2750720	C0557874	C0026838	C0034350	C0034350	C4225425	C2678477	
C0014591	C1970011	C1845408	C0024299	C1531773	C3808589	C4509933	C4509933	C0022333	C1836522	
C0020503	C1844020	C4553705	C1865285	C1405854	C0029124	C1843920	C1843920	C0268581	C0019151	
C0009439	C2750448	C2752038	C1970757	C1834877	C0009782	C0740279	C0740279	C0268465	C0795910	
C0019569	C0020473	C0333463	C0342727	C0339535	C0005940	C4014233	C4014233	C0024232	C1843808	
C4551511	C1850343	C0086431	C0342728	C1136249	C1720821	C1845567	C1845567	C0342765	C0268579	
C3150667	C4522164	C4284790	C4551955	C4228778	C0268281	C3553606	C3553606	C0454606	C1855008	
C0239777	C0268293	C1842028	C1150929	C0027661	C0034067	C1846142	C1846142	C1857829	C0019147	
C3887497	C0268292	C0457013	C4310726	C3160738	C1858154	C3279757	C3279757	C0234535	C2931008	
C0020305	C0344490	C0085652	C1834176	C2936781	C3554607	C0007873	C0007873	C0393591	C0015393	
C0026918	C0234533	C0029463	C2717750	C3160739	C1840390	C0282631	C0282631	C0234533	C1969785	
C4551702	C1857355	C0022333	C1835922	C0032461	C1845672	C3495427	C3495427	C0270912	C0008384	
C1510497	C0234535	C0033847	C0206245	C0028326	C0158646	C0472792	C0472792	C0268228	C3714534	
C1336708	C0016202	C1858806	C1848519	C0494261	C1855498	C0035335	C0035335	C0268226	C0025237	
C0282512	C3553264	C3280073	C4225314	C3714506	C4551958	C4284284	C4284284	C0410190	C0268468	
C0265529	C0393610	C0265326	C4225313	C0028326	C0264611	C0271979	C0271979	C2931004	C3280977	
C0265213	C2931418	C0011574	C3550234	C0003257	C0018553	C0029408	C0029408	C4721508	C2750509	
C0346255	C0020456	C0268355	C3809803	C3502809	C2713443	C0011860	C0011860	C4721509	C2931835	
C0233794	C3280845	C4316787	C1832243	C3266731	C4553743	C2936694	C2936694	C0752308	C0085390	
C2609071	C0751071	C0025472	C0032460	C1861456	C2713442	C1720416	C1720416	C0751337	C3553645	
C4540559	C1861172	C0220669	C0746857	C0340970	C0456909	C0014518	C0014518	C0752306	C3150801	
C2585653	C4551509	C4479236	C2676723	C3553719	C3554478	C0013930	C0013930	C0752307	C0242488	
C0019625	C3280914	C2919142	C0422855	C1832200	C0342474	C0220615	C0220615	C0752304	C0406587	
C0012739	C1704356	C0010691	C0422853	C1864870	C4748234	C2931860	C2931860	C0752305	C0162565	
C1865145	C1832466	C3267076	C0422854	C3809672	C0597124	C0020455	C0020455	C0422853	C0220754	
C0346373	C0020443	C3280285	C0221227	C3554246	C0796019	C0233514	C0233514	C0422854	C0342738	
C3280777	C0392557	C0270726	C0422852	C4277533	C1333990	C0278701	C0278701	C0422852	C1835928	
C4225155	C1864908	C0546264	C0422850	C0017601	C4310232	C2931367	C2931367	C0422850	C3554067	
C2675205	C4551496	C0023817	C0011757	C0022904	C4013035	C0079487	C0079487	C0019569	C3551915	
C2675204	C4551768	C2931384	C0042790	C1832200	C4521680	C0009241	C0009241	C0422855	C3553374	
C2675206	C1868570	C0020630	C1859309	C0079541	C1835819	C0917796	C0917796	C0026847	C0043208	
C3280781	C0919532	C0406557	C0002871	C1832200	C0205713	C4551568	C4551568	C1856058	C1850442	
C1860518	C0241908	C4310806	C4551983	C3714756	C2750784	C0431362	C0431362	C3468041	C3278147	
C4551497	C3280378	C3151085	C0410530	C2931743	C0398621	C0349639	C0349639	C0751267	C4755264	
C0392557	C0743002	C3150354	C0220662	C1832200	C2936739	C0431363	C0431363	C0751268	C2752074	
C4539873	C2931461	C4551630	C4551776	C4707228	C1334261	C0020758	C0020758	C4552001	C4317295	
C1864445	C1300268	C4015316	C4748135	C0034372	C1876182	C0007847	C0007847	C1868512	C1855102	
C4553743	C1970269	C2936170	C0796022	C0020796	C0149931	C0220669	C0220669	C3279743	C3150416	
C1609433	C4551902	C0001430	C4014501	C0087012	C0376524	C2931498	C2931498	C3280887	C3150411	
C0346388	C4225291	C3150733	C1856113	C1641846	C0398689	C0238357	C0238357	C1449862	C3150418	
C0393720	C0342637	C3541471	C0702166	C0029089	C3714941	C1840452	C1840452	C1449861	C0007274	
C0393588	C1860339	C3554409	C3809464	C0018566	C1837015	C3150928	C3150928	C0086647	C3810042	
C0026847	C0085652	C0000772	C3151781	C0018975	C1334271	C0700438	C0700438	C0376634	C1864840	
C1840364	C0751177	C0409818	C2931277	C1527231	C0175709	C4551982	C4551982	C1837355	C0007959	
C3665473	C1857682	C0007621	C4748608	C0917816	C0751068	C0264955	C0264955	C1334968	C0345905	
C2713368	C3810295	C0877848	C0026707	C1832200	C0376544	C4324548	C4324548	C0015371	C1842073	
C0004238	C3495591	C0238463	C1853833	C0018965	C0376545	C0004114	C4225244	C0272350	C0002888	
C0235063	C0002448	C0752166	C0220756	C3714756	C0917800	C4225244	C0004114	C1853249	C0042487	
C0019025	C0699739	C1862382	C2937288	C1832200	C0010709	C4303761	C4303761	C1970021	C4082171	
C1847514	C4551999	C3810242	C2700265	C4310771	C1835916	C0027651	C0027651	C4085243	C0268262	
C0338479	C3554381	C0018817	C2748541	C4310798	C0270844	C0085129	C0085129	C0751372	C2750995	
C3280679	C0011269	C0022521	C3553656	C0079299	C0270846	C0238358	C0238358	C0751373	C0265319	
C0338478	C0410190	C1112155	C0393706	C0079295	C3150705	C0006111	C0006111	C0751371	C0005859	
C3887506	C1858386	C4748670	C4015555	C0338508	C4748694	C3553571	C3553571	C0004782	C0243026	
C0268743	C4310751	C4551862	C3809420	C3714756	C4539824	C4316870	C4316870	C1303073	C4225256	
C0025267	C1864498	C4551863	C2826025	C0339527	C2675508	C1840391	C1840391	C0085110	C1263846	
C0268742	C0018784	C1389273	C3151087	C4225382	C0220769	C0577660	C0577660	C3852987	C1864663	
C1832200	C1970237	C1846648	C1859844	C3714506	C0857439	C0553558	C0553558	C0268242	C3553358	
C3495145	C0004134	C2930619	C0175702	C3714756	C2350233	C0020302	C0020302	C0268243	C4746745	
C3279997	C4310796	C2930618	C1857574	C0025237	C4275075	C0005001	C0005001	C3852984	C0268600	
C0033958	C4538407	C4747517	C0751036	C1860446	C0406775	C4551474	C4551474	C0029124	C3150898	
C0014084	C0037772	C1855840	C0369183	C3853041	C4310722	C0023798	C0023798	C3852986	C0346373	
C0424230	C0750929	C1260899	C3810407	C3280113	C1853214	C0027819	C0027819	C3852985	C0242339	
C0016059	C0027658	C1336839	C3550273	C0558846	C1970161	C0750907	C0750907	C3150546	C0346388	
C1832916	C0027654	C2673635	C1859317	C0558845	C0022658	C0750906	C0750906	C1864912	C0342881	
C0003499	C3280345	C2936718	C0268443	C1853354	C2752073	C0220621	C0220621	C0008924	C0037769	
C0685786	C0750932	C0555198	C3463916	C0268358	C1863389	C0019337	C0019337	C0268542	C2751643	
C1836705	C0750931	C1876185	C0751748	C4048705	C1865644	C0153594	C0153594	C0279607	C0685838	
C1631597	C0266468	C0423623	C3809443	C1862389	C3887494	C0220666	C0220666	C1861195	C1864923	
C3665333	C3280897	C3645536	C0345893	C0033300	C1720779	C0474366	C0474366	C4225287	C0342727	
C0749420	C1846142	C4551512	C3280501	C0268390	C4551973	C4083045	C4083045	C0342907	C3550234	
C1510450	C0598589	C4721541	C2930990	C1850597	C1292778	C0553692	C0553692	C0017926	C1832243	
C0751408	C0334634	C2752007	C0020428	C3661489	C3278211	C4551979	C4551979	C4748826	C3489396	
C0751407	C0005910	C3150808	C2677774	C1850598	C0857379	C0472767	C0472767	C0085136	C0153594	
C0342302	C4225208	C0432417	C0432336	C0004331	C3554241	C0398626	C0398626	C3714933	C0152234	
C0546126	C0018566	C0432416	C0242973	C1850599	C2750063	C1865372	C1865372	C0037773	C1150929	
C0009319	C3493776	C4225247	C4722227	C1836255	C1860238	C1865370	C1865370	C1850709	C3151087	
C0751437	C0010481	C1969796	C4310635	C0239174	C2675179	C0018193	C0018193	C0152200	C3550273	
C0751438	C0220743	C4693974	C1847827	C3714756	C1851102	C1970479	C1970479	C0268238	C3809443	
C1834144	C1136249	C3276276	C1835698	C0079299	C1960469	C0205789	C0205789	C0236807	C2930990	
C4273131	C2678439	C0270765	C2752089	C0268579	C1843852	C0205788	C0205788	C0236804	C0273115	
C0393591	C4225317	C0423618	C1844666	C0268468	C1843851	C0751760	C0751760	C2749346	C0001126	
C2675522	C1857761	C1744559	C3280800	C0079295	C4747850	C0011616	C0011616	C4552072	C0751594	
C0015306	C4479387	C2677877	C1832669	C0025363	C0342751	C1849173	C1849173	C1835845	C0015230	
C2675520	C3808986	C0022340	C0004782	C0393598	C4552072	C0398623	C0398623	C3837958	C3151126	
C2675521	C3279839	C3892039	C1704375	C0431380	C1834674	C0432226	C0432226	C0751893	C3151295	
C0751849	C0238286	C2936786	C1842839	C0558847	C0010481	C4479504	C4479504	C1449844	C1843116	
C0751847	C2931482	C2267233	C1832827	C4015343	C0270824	C0431415	C0431415	C0018798	C0178540	
C0751848	C0268467	C3281235	C2751830	C0393593	C0037221	C0006118	C0006118	C4479608	C3549845	
C0751845	C0333463	C0272137	C1785148	C0016395	C0751829	C0019243	C0019243	C2677589	C1969024	
C0751846	C0438414	C1858338	C0009447	C4011788	C0346303	C0751758	C0751758	C1449843	C4310691	
C0004153	C0346647	C1840437	C0001126	C1836027	C4748003	C0206726	C0206726	C3826462	C1321905	
C4011726	C1970416	C1849437	C3502075	C1970027	C1843225	C0751759	C0751759	C2751641	C2749759	
C3888239	C1956346	C2673285	C2930980	C1861735	C3554691	C0178540	C0178540	C0153601	C3150417	
C3554687	C3494247	C0205822	C0264393	C0344724	C3554321	C0677608	C0677608	C0740376	C3150412	
C3501611	C0860207	C0205823	C4305256	C0023890	C0751832	C1563730	C1563730	C3809192	C1859598	
C1832884	C3494248	C0431401	C0751594	C3280977	C0342543	C1563731	C1563731	C0030193	C3149750	
C1858172	C3711370	C0340848	C0028077	C2931838	C0751830	C1969652	C1969652	C0020523	C0949664	
C0024145	C0238402	C0017612	C2749872	C0342282	C3553762	C4551772	C4551772	C1970827	C1969040	
C0270724	C0265326	C1855663	C3150896	C0243050	C0751831	C0423623	C0423623	C1858991	C0036902	
C0242426	C0268355	C0431363	C0349788	C1848862	C0220721	C0206727	C0206727	C0037231	C1333991	
C0745103	C0270612	C1833508	C1833118	C0020796	C2748571	C3279614	C3279614	C3279793	C0346302	
C0004763	C0025472	C0431362	C2713447	C1563720	C3463897	C0206648	C0206648	C1853942	C0340630	
