NetworkName	datasets	LLS
MCS_SCS	9043870	18.0
MCS_SCS	15370539	18.0
MCS_SCS	19564581	18.0
MCS_SCS	8112288	18.0
MCS_SCS	28101778	18.0
MCS_SCS	12464671	18.0
MCS_SCS	4701948	18.0
MCS_SCS	23483448	18.0
MCS_SCS	20577595	18.0
MCS_SCS	19249007	18.0
MCS_SCS	7545463	18.0
MCS_SCS	8845167	18.0
MCS_SCS	10521298	18.0
MCS_SCS	8845168	11.98791025242275
MCS_SCS	17189203	18.0
MCS_SCS	16801345	18.0
MCS_SCS	10954200	18.0
MCS_SCS	10521297	18.0
MCS_SCS	10521296	18.0
MCS_SCS	5160402	18.0
MCS_SCS	10521291	18.0
MCS_SCS	19793597	18.0
MCS_SCS	10521290	18.0
MCS_SCS	10521293	18.0
MCS_SCS	19793595	10.88929796375464
MCS_SCS	10521292	18.0
MCS_SCS	9043863	18.0
MCS_SCS	21312326	18.0
MCS_SCS	23602541	18.0
MCS_SCS	12114481	18.0
MCS_SCS	12114483	18.0
MCS_SCS	9811582	18.0
MCS_SCS	1746557	18.0
MCS_SCS	16009891	18.0
MCS_SCS	27711071	18.0
MCS_SCS	25820570	11.98791025242275
MCS_SCS	24123776	18.0
MCS_SCS	25772319	18.0
MCS_SCS	27411168	18.0
MCS_SCS	21963784	18.0
MCS_SCS	23157339	11.98791025242275
MCS_SCS	11897817	18.0
MCS_SCS	12355493	18.0
MCS_SCS	7507150	18.0
MCS_SCS	17634472	18.0
MCS_SCS	7507152	18.0
MCS_SCS	7507151	18.0
MCS_SCS	19708871	18.0
MCS_SCS	18311786	18.0
MCS_SCS	11391350	18.0
MCS_SCS	11810292	11.98791025242275
MCS_SCS	1363816	18.0
MCS_SCS	28847925	18.0
MCS_SCS	10234611	18.0
MCS_SCS	17321228	18.0
MCS_SCS	20577567	18.0
MCS_SCS	20227366	18.0
MCS_SCS	10873982	18.0
MCS_SCS	9367690	11.98791025242275
MCS_SCS	21865298	18.0
MCS_SCS	15333589	18.0
MCS_SCS	20576226	18.0
MCS_SCS	6941312	18.0
MCS_SCS	15682412	18.0
MCS_SCS	10944856	18.0
MCS_SCS	15297419	18.0
MCS_SCS	10944854	18.0
